sector_code,sector_name,country,A01,A02,A03,B,C10-C12,C13-C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_C32,C33,D35,E36,E37-E39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_J60,J61,J62_J63,K64,K65,K66,L68,M69_M70,M71,M72,M73,M74_M75,N,O84,P85,Q,R_S,T,U
A01,"Crop and animal production, hunting and related service activities",AUS,8.656286578,0.474105444,4.59528E-05,0.024452395,117.8481552,0.223944285,0.01443627,0.017669039,0.003502933,0.035405257,0.518029121,0.375604956,1.372553188,0.0173346,0.013593835,0.071796048,0.026093231,0.028062784,0.063681813,0.077103882,0.007164897,0.01688483,0.01299322,0.023842929,0.001278945,0.003854093,0.020463176,0.002555925,0.592107125,0.205981791,0.005161422,0.04948043,0.001185688,0.014721887,0.000486429,1.712503787,0.001961549,0.001141856,0.003854714,0.005768575,0.029748479,0.010498122,0.004840628,0.031759385,0.061189615,0.022602865,0.0210352,0.002065172,0.02121254,0.950552951,1.64911157,0.092396664,1.246774408,0.20281092,0,0
A02,Forestry and logging,AUS,0.00350503,0.010772797,4.57417E-06,0.000294335,0.004220096,0.00039917,0.019156735,0.001539163,0.000232798,0.000398325,0.001447332,0.000550586,0.001686985,0.000629956,0.000863163,0.00238766,0.00115374,0.001266505,0.003556179,0.00326773,0.001225438,0.001394235,0.001324303,0.000538789,3.07848E-05,0.000405329,0.001109576,0.000113849,0.000720149,0.000539983,0.000451988,0.000449608,0.000136974,0.002062845,0.000114577,0.000463627,9.65758E-05,6.14184E-05,0.000549255,0.000634304,0.000298316,0.000142718,5.60881E-05,0.00017885,0.000356137,0.00057734,0.000297199,6.37978E-05,5.89597E-05,0.0022421,0.000325244,0.000255545,0.00104914,0.000360226,0,0
A03,Fishing and aquaculture,AUS,0.002363664,7.48317E-05,0.026445908,0.000171504,0.368623895,0.000225973,0.000192858,0.000303654,0.000221228,0.000170322,0.001956804,0.001666146,0.00109441,0.000506375,0.000647464,0.002013452,0.000935133,0.001130833,0.003009542,0.003061337,0.001012645,0.004398543,0.001191938,0.000335255,2.16144E-05,0.000314748,0.001001846,7.5858E-05,0.002165371,0.000956059,0.000321308,0.001330103,0.000134143,0.001505272,8.80219E-05,0.074406942,6.78404E-05,3.95204E-05,0.000391917,0.000485438,0.000200529,0.000101834,3.72647E-05,0.00010723,0.000236983,0.000388747,0.000219688,4.48411E-05,3.94981E-05,0.001594319,0.001227652,0.000139585,0.027746102,0.003404982,0,0
B,Mining and quarrying,AUS,0.105845081,0.002433065,0.00029441,0.71843351,1.500531165,0.120369969,0.040770958,0.319326827,0.030651737,31.34993223,1.770852573,0.096638267,0.49554207,1.740080356,5.625395955,0.444677348,0.133763789,0.656367059,1.302741306,1.647684548,0.135890785,0.231222896,0.255720817,9.092650668,0.0747965,0.086247676,1.14420278,0.05823282,0.497143169,0.603138911,0.180614967,0.196120098,0.043800823,0.340962968,0.073310688,0.112048786,0.02576357,0.018792643,0.033534602,0.057440082,0.4050715,0.148074964,0.064025724,0.401848384,0.816710515,0.292065431,0.042983265,0.029712284,0.080636209,0.376809039,0.550694865,0.061596594,0.22205229,0.077532833,0,0
C10-C12,"Manufacture of food products, beverages and tobacco products",AUS,1.015772824,0.001626092,0.001948408,0.006320487,8.318985021,0.32927373,0.010543879,0.02967098,0.013428645,0.075784233,0.875965755,0.160618562,0.180387044,0.0252684,0.041913353,0.04278169,0.058197939,0.057402461,0.129977582,0.198049044,0.024092996,0.088005884,0.027122968,0.023265026,0.001201878,0.00628739,0.095930792,0.008871265,0.076752503,0.053726684,0.009255839,0.047500359,0.008738001,0.010893297,0.002952703,3.088124457,0.005365699,0.007895424,0.011695857,0.013303337,0.080585916,0.028348885,0.013304324,0.084964152,0.168144951,0.060701926,0.018917394,0.00863044,0.018990462,0.0909838,0.653191105,0.096761055,1.957912195,0.079949095,0,0
C13-C15,"Manufacture of textiles, wearing apparel and leather products",AUS,0.199026426,0.003475154,0.049205305,0.0067006,0.280503719,8.04318444,0.026966944,0.093110733,0.012041073,0.055349497,0.459603665,0.241368298,1.690641695,0.056765124,0.054799871,0.223977299,0.173808808,0.186866932,0.420771556,1.917078836,0.195270579,1.357218001,0.087959666,0.045400216,0.002799833,0.00720132,0.804210681,0.024248985,0.051395605,0.210592649,0.015578507,0.009073159,0.001486089,0.012345711,0.044777836,0.460006162,0.001484232,0.038772488,0.00549607,0.006671947,0.007618472,0.002635659,0.001491869,0.007508051,0.015565179,0.011003749,0.019193082,0.078580231,0.010417109,0.272174535,0.347778429,0.040911481,0.629805843,0.368401197,0,0
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUS,0.005358033,0.004294114,7.67289E-05,0.00185607,0.032783006,0.009657988,0.11879164,0.009032978,0.000896356,0.004163291,0.012538238,0.005354016,0.009974981,0.004199072,0.005167587,0.014409431,0.021671075,0.007302851,0.019948393,0.026655623,0.013789587,0.139883923,0.007915685,0.006807216,0.000332583,0.00131403,0.10516338,0.00103325,0.005249801,0.005005348,0.001245401,0.00017813,0.000204003,0.001999519,0.000255028,0.007736789,0.000381466,0.000627683,0.001761204,0.001142623,0.005375201,0.001938771,0.000903082,0.007960359,0.011006775,0.004424969,0.001382415,0.001430807,0.002583463,0.01032644,0.007914998,0.002970782,0.108746484,0.021554028,0,0
C17,Manufacture of paper and paper products,AUS,0.029227947,0.004303986,0.004326013,0.05334362,1.699157676,0.604946092,0.116246179,5.937439435,2.051191238,0.050881113,0.813431839,0.2880505,0.343329874,0.149252598,0.041166998,0.183668963,0.223634283,0.266395438,0.233706494,0.261376693,0.044274303,0.297940187,0.053382352,0.037749239,0.002643634,0.01156685,0.282989524,0.016258817,0.547967316,0.598061291,0.01324767,0.002680236,0.003466652,0.018977847,0.017196758,0.05623996,0.249187541,0.024860666,0.027558569,0.092586604,0.107033856,0.0194393,0.004635478,0.017688832,0.168802451,0.083173982,0.031657014,0.059394502,0.062762413,0.185589186,0.093400233,0.03260037,0.220119115,0.074798524,0,0
C18,Printing and reproduction of recorded media,AUS,0.020402869,0.001729974,0.00090278,0.011347026,0.302350453,0.135225542,0.020672053,0.157971345,0.513855734,0.058204954,0.157145074,0.057454425,0.094907814,0.048867312,0.068089202,0.074677444,0.089485485,0.126164601,0.336474819,0.352455917,0.031953164,0.086006514,0.046843272,0.066725992,0.005217415,0.044557694,0.113638496,0.066907056,0.225938183,0.556711542,0.047229992,0.002790072,0.004078103,0.028080639,0.048259996,0.0343519,0.582488812,0.103049383,0.111457219,0.234131307,0.680102495,0.205497279,0.080136823,0.534921645,1.175131804,0.401614172,0.041189204,0.070527687,0.128648936,0.567871672,0.251863634,0.070321017,0.164484731,0.097984321,0,0
C19,Manufacture of coke and refined petroleum products ,AUS,0.019738804,0.000770079,0.000120666,0.003686564,0.043923696,0.003785473,0.001688915,0.004058101,0.001865153,0.122436871,0.122697274,0.007019724,0.008252718,0.012377565,0.036506575,0.005671933,0.007506584,0.011096984,0.027476589,0.025412921,0.004383491,0.004961837,0.00407371,0.031418703,0.000695063,0.004649452,0.042742215,0.005122998,0.043498582,0.021266219,0.028383262,0.025776535,0.092073349,0.02850923,0.004807548,0.004320419,0.003208178,0.002271344,0.00322084,0.005450889,0.037836485,0.013473004,0.006267565,0.040623783,0.081558109,0.02844686,0.002886699,0.002915469,0.008220779,0.038429354,0.026508904,0.003652483,0.013145801,0.009431876,0,0
