sector_code,sector_name,country,A01,A02,A03,B,C10-C12,C13-C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_C32,C33,D35,E36,E37-E39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_J60,J61,J62_J63,K64,K65,K66,L68,M69_M70,M71,M72,M73,M74_M75,N,O84,P85,Q,R_S,T,U
A01,"Crop and animal production, hunting and related service activities",AUS,20.89120276,0.016838411,4.41438E-05,0.008808546,59.69678563,0.252731449,0.021503224,0.041340227,0.001530398,0.006633771,0.262348542,0.079772127,0.443254354,0.001043598,0.002111887,0.004480344,0.023403185,0.027833662,0.009012092,0.001430024,0.001884153,0.133283343,0.002037713,0.037562028,0.000386465,0.001137857,0.485243539,0.002788068,1.051670518,0.006708093,0.005229003,0.002143107,0.000272353,0.003322877,0.002164696,1.072147655,0.001128177,0.000847227,0.005134203,0.00534927,0.021879749,0.002824072,0.001755411,0.018617969,0.067788648,0.003670901,0.016752203,0.002086772,0.003534137,0.830369218,0.735654836,0.004290041,0.930566361,0.330562052,0,0
A02,Forestry and logging,AUS,0.000904911,0.160508669,3.94938E-06,0.001042736,0.001747335,5.25696E-05,0.283564947,0.027908213,0.000232483,0.000737876,0.040545699,0.000432109,0.024855381,0.000164112,0.000207126,0.00042006,0.011010166,0.000109042,0.000640983,9.7232E-05,0.000161277,9.95844E-05,0.000371766,0.000340951,4.8363E-05,0.000129495,0.00712025,0.000640099,0.017340095,0.001076468,0.000810284,0.001398097,0.000118874,0.0004321,0.000219835,0.000373209,0.000367018,0.000585785,0.000339126,0.000916051,0.000698976,0.000168926,9.57022E-05,0.000269267,0.005810331,0.000307958,0.000134071,0.000133506,0.001458099,0.001179639,0.060691767,0.00038222,0.000804228,0.000760181,0,0
A03,Fishing and aquaculture,AUS,0.000529937,3.72773E-06,0.007556796,0.000824847,0.064085878,3.36045E-05,3.58023E-05,7.39285E-05,0.000180046,0.000496365,0.001742282,0.000325302,0.000161878,0.000120826,0.000133696,0.00027037,0.008476928,6.60527E-05,0.000357438,5.50343E-05,9.57973E-05,6.05367E-05,0.000271104,0.000259672,3.76178E-05,9.58318E-05,0.001085961,0.000488872,0.004616509,0.000843068,0.000584159,0.001106351,9.21459E-05,0.000333092,0.000172453,0.01117383,0.000288781,0.000462977,0.000202134,0.00071715,0.000536839,0.000130316,7.37482E-05,0.000195425,0.004564885,0.000230619,0.000101592,0.000103127,0.001148918,0.000903701,0.00323688,0.000293223,0.014190233,0.002137878,0,0
B,Mining and quarrying,AUS,0.120948007,0.000836464,0.000464978,0.097006027,0.190297251,0.007285421,0.005342732,0.016912427,0.017810532,10.26292278,0.431535684,0.020753555,0.021101229,0.038398494,0.126061152,0.034499969,0.157061315,0.020092081,0.060495794,0.010455616,0.012200559,0.013105922,0.016762132,0.477359567,0.004446564,0.011571524,0.189017213,0.030137822,0.45776548,0.088869443,0.051823754,0.025848468,0.015018085,0.06249706,0.027147968,0.045991697,0.012088148,0.007606183,0.040530128,0.060899319,0.282239054,0.036761652,0.022969339,0.08306001,0.853421078,0.034299027,0.020295034,0.026859979,0.037421968,0.118359708,0.17223347,0.062857869,0.083646433,0.082845792,0,0
C10-C12,"Manufacture of food products, beverages and tobacco products",AUS,0.312819235,0.000706932,0.001163508,0.005892089,1.021431943,0.014463122,0.003021403,0.009799293,0.00552387,0.158073458,0.222855301,0.035656361,0.026236427,0.004523658,0.008130025,0.017448096,0.077803792,0.008001457,0.035951833,0.005777068,0.007746014,0.012811865,0.007393178,0.02369727,0.001301724,0.022640346,0.052957746,0.008982272,0.131071556,0.018917826,0.009485088,0.005337799,0.0013428,0.007902727,0.005940417,0.225330536,0.003178977,0.002496246,0.018518045,0.015148225,0.061175134,0.008404032,0.005194189,0.014471719,0.185013051,0.008883399,0.005658167,0.005981826,0.00960985,0.031453286,0.049365315,0.01533439,0.125844031,0.06802529,0,0
C13-C15,"Manufacture of textiles, wearing apparel and leather products",AUS,0.035264574,0.000419026,0.005056689,0.001044289,0.077951163,0.224894682,0.002655611,0.037932826,0.005111416,0.059048665,0.288269849,0.00741994,0.070238751,0.013799012,0.004695201,0.018932286,0.036318955,0.005968854,0.033082637,0.009179582,0.008872132,0.038996908,0.006668365,0.005346743,0.000729581,0.005040523,0.065272252,0.006802282,0.054518836,0.006239071,0.006237052,0.001503763,0.000621556,0.003976881,0.001670583,0.012930845,0.000673558,0.001642435,0.010731499,0.002478351,0.007479254,0.001736277,0.00097444,0.006171132,0.016828566,0.003145957,0.002958519,0.001000271,0.003423543,0.028359829,0.054519976,0.003834174,0.074310324,0.032178822,0,0
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUS,0.03476308,8.63443E-05,1.53376E-05,0.003355025,0.09197053,0.002285603,0.547980309,0.019541806,0.00530626,0.02392114,0.050548056,0.023748716,0.029573135,0.023362822,0.025947453,0.045370987,0.028113931,0.012533115,0.02696603,0.006695403,0.024063805,0.155729132,0.007173076,0.003987493,0.00456611,0.008404553,1.449912602,0.000976192,0.114169629,0.024731322,0.006720911,0.000679055,0.002283914,0.021448029,0.001674355,0.017493719,0.004882355,0.006485078,0.006997051,0.005848256,0.004431674,0.000825529,0.000493961,0.269322653,0.032726415,0.005266031,0.007763056,0.005792564,0.006451381,0.133522379,0.026979784,0.017872529,0.043281365,0.09975459,0,0
C17,Manufacture of paper and paper products,AUS,0.010532278,0.000190338,0.00069213,0.001428443,0.097839009,0.014674824,0.002354371,0.143895333,0.058960302,0.011515824,0.022463445,0.007995237,0.022940734,0.007539171,0.003118444,0.00915281,0.013506328,0.00312311,0.01642888,0.004627633,0.004440069,0.010687179,0.002388351,0.004357802,0.000533298,0.001309658,0.034239057,0.006190548,0.043340826,0.007673216,0.006042135,0.001406208,0.000206423,0.003121344,0.001001876,0.006777591,0.014663765,0.001453733,0.003955835,0.002997379,0.012828244,0.00343593,0.002771528,0.005255995,0.026405706,0.002561795,0.001338138,0.001857886,0.004270894,0.028121515,0.02068977,0.008513303,0.050539114,0.009908758,0,0
C18,Printing and reproduction of recorded media,AUS,0.033101936,0.000158738,0.00039929,0.027046096,0.084444429,0.008753869,0.003292942,0.01369665,0.022017135,0.026789396,0.094603471,0.020246045,0.017336776,0.009579876,0.011700299,0.026708282,0.104626185,0.020645965,0.038038235,0.007427537,0.007256274,0.010470049,0.013913146,0.106312974,0.005263792,0.010655145,0.108976627,0.027690334,0.520521478,0.095649054,0.037488906,0.020835045,0.001693926,0.040198273,0.033979576,0.035531843,0.014245266,0.007322657,0.034556526,0.073943301,0.361956804,0.044805178,0.027902227,0.061655069,1.089229385,0.033747612,0.02330203,0.033057381,0.040874321,0.137856214,0.184576803,0.057614807,0.059070095,0.07108956,0,0
C19,Manufacture of coke and refined petroleum products ,AUS,0.011582916,0.00010298,0.000619456,0.00208122,0.017090086,0.000676391,0.000505832,0.001056573,0.001704854,0.160080346,0.082615049,0.001894693,0.002023089,0.001648312,0.001742681,0.003589778,0.012397796,0.003881444,0.005948483,0.001117512,0.001295273,0.002051485,0.001801757,0.0161082,0.000523741,0.001788895,0.020429919,0.003661122,0.044172781,0.008740314,0.029206709,0.022017116,0.044573889,0.004645798,0.00296569,0.003270856,0.001110034,0.00057519,0.003896236,0.0060251,0.027978553,0.003601449,0.002241531,0.005536139,0.083837097,0.003060932,0.001944558,0.002592087,0.00338147,0.015537146,0.016735105,0.005489401,0.006794329,0.007413172,0,0
